"idpersona","idmatriculacion","idcarrera","idcohorte","carrera_siglas","carrera","tipo","lf","cohorte","cohorte_anio","estado"
"1987","1942","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1992","1947","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2004","1961","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2025","1982","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Inactivo"
"1257","1989","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2039","1996","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2045","2002","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2076","2033","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Inactivo"
"2079","2036","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2083","2040","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2086","2044","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2098","2056","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2104","2062","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2115","2072","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2171","2126","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2188","2146","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Reprobado"
"2206","2159","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2250","2197","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2254","2199","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2259","2204","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2262","2209","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2267","2214","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Inactivo"
"2269","2216","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2271","2218","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2272","2219","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2291","2234","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Inactivo"
"2348","2288","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Reprobado"
"2359","2298","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2362","2300","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2374","2311","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2377","2314","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2388","2325","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2392","2329","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Reprobado"
"2407","2341","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2413","2350","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2421","2359","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Inactivo"
"2431","2368","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2466","2390","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Reprobado"
"2472","2396","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2491","2415","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2518","2440","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"2534","2452","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"2532","2453","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Reprobado"
"2548","2470","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Inactivo"
